Sales_Rep_ID,Rep_Name,Region,Skill_Level,Forecast_Bias,Target_Annual_Revenue
1,Susan Sullivan,APAC,Medium,1.2401428612819831,1010268
2,Jeffery Jones DDS,APAC,Medium,1.1391665505707183,1812756
3,Michael Hensley,Americas,Medium,1.191614515559209,1687201
4,Donald Clay,Americas,Medium,1.23771054180315,1691743
5,Randy Barker,Americas,Low,1.1734963019255433,1889436
6,Rachel Diaz,APAC,Medium,1.1082458280396084,1554811
7,David Hall,Americas,Low,1.096554268086061,984654
8,Elizabeth Phillips,EMEA,Medium,1.1264923982534325,1173538
9,Alicia Thomas,EMEA,Low,1.186061507717556,1373254
10,James Fitzgerald,Americas,High,1.2384403511369706,1598361
11,Bryce Martin,APAC,Medium,1.0695344228012769,1578843
12,Angela Watson,APAC,High,1.149035382022254,1006530
13,Brandon Williams,Americas,Low,1.1017559963200034,1108261
14,Karen Graves,EMEA,High,1.1635400655639982,1889913
15,Angela Martin,Americas,Medium,1.129030047200363,1850110
16,Mike Miller,APAC,Low,1.0676985004103838,1907293
17,Cassandra Anderson,Americas,Medium,1.1277354579378964,1507086
18,Andrew Holloway,EMEA,Low,1.121350665338718,1878732
19,Charles Shah,EMEA,High,1.2473773873201035,1033767
20,Stacy Johnson,EMEA,High,1.213092285690967,913986
21,Traci Hughes,Americas,Low,1.1711919949562022,1188998
22,Mrs. Tonya Snow DVM,EMEA,Medium,1.2329919351087562,1979111
23,Cathy Calhoun,APAC,Medium,1.0690820232980822,1389570
24,Jack Freeman,APAC,Medium,1.1049443585980128,1101664
25,Darren Johnson,APAC,Medium,1.2443424190778207,1084064
